Absence reason,Month,Day,Season,Transportation expense,Distance to Work,Service time,Age,Avg work load per day,Education level,Number of children,Pets,Weight,Height,Body mass index,Hours absent,Disease
26,Jul,Tue,Spring,289,36,13,33,239.554,h_school,2,1,90,172,30,4,no
0,Jul,Tue,Spring,118,13,18,50,239.554,h_school,1,0,98,178,31,0,no
23,Jul,Wed,Spring,179,51,18,38,239.554,h_school,0,0,89,170,31,2,no
7,Jul,Thr,Spring,279,5,14,39,239.554,h_school,2,0,68,168,24,4,yes
23,Jul,Thr,Spring,289,36,13,33,239.554,h_school,2,1,90,172,30,2,no
23,Jul,Fri,Spring,179,51,18,38,239.554,h_school,0,0,89,170,31,2,no
22,Jul,Fri,Spring,361,52,3,28,239.554,h_school,1,4,80,172,27,8,no
23,Jul,Fri,Spring,260,50,11,36,239.554,h_school,4,0,65,168,23,4,no
19,Jul,Mon,Spring,155,12,14,34,239.554,h_school,2,0,95,196,25,40,yes
22,Jul,Mon,Spring,235,11,14,37,239.554,postgrad,1,1,88,172,29,8,no
1,Jul,Mon,Spring,260,50,11,36,239.554,h_school,4,0,65,168,23,8,yes
1,Jul,Tue,Spring,260,50,11,36,239.554,h_school,4,0,65,168,23,8,yes
11,Jul,Wed,Spring,260,50,11,36,239.554,h_school,4,0,65,168,23,8,yes
11,Jul,Wed,Spring,179,51,18,38,239.554,h_school,0,0,89,170,31,1,yes
23,Jul,Wed,Spring,179,51,18,38,239.554,h_school,0,0,89,170,31,4,no
14,Jul,Fri,Spring,246,25,16,41,239.554,h_school,0,0,67,170,23,8,yes
23,Jul,Fri,Spring,179,51,18,38,239.554,h_school,0,0,89,170,31,2,no
21,Jul,Mon,Spring,179,51,18,38,239.554,h_school,0,0,89,170,31,8,yes
11,Jul,Thr,Spring,189,29,13,33,239.554,h_school,2,2,69,167,25,8,yes
23,Aug,Wed,Spring,248,25,14,47,205.917,h_school,2,1,86,165,32,2,no
10,Aug,Wed,Spring,330,16,4,28,205.917,graduate,0,0,84,182,25,8,yes
11,Aug,Mon,Spring,179,51,18,38,205.917,h_school,0,0,89,170,31,1,yes
13,Aug,Mon,Spring,361,52,3,28,205.917,h_school,1,4,80,172,27,40,yes
28,Aug,Fri,Spring,260,50,11,36,205.917,h_school,4,0,65,168,23,4,no
18,Aug,Mon,Spring,289,36,13,33,205.917,h_school,2,1,90,172,30,8,yes
25,Aug,Mon,Spring,361,52,3,28,205.917,h_school,1,4,80,172,27,7,no
23,Aug,Tue,Spring,289,36,13,33,205.917,h_school,2,1,90,172,30,1,no
28,Aug,Wed,Spring,157,27,6,29,205.917,h_school,0,0,75,185,22,4,no
18,Aug,Wed,Spring,289,36,13,33,205.917,h_school,2,1,90,172,30,8,yes
23,Aug,Fri,Spring,179,51,18,38,205.917,h_school,0,0,89,170,31,2,no
18,Aug,Mon,Spring,179,51,18,38,205.917,h_school,0,0,89,170,31,8,yes
18,Aug,Thr,Spring,235,29,12,48,205.917,h_school,1,5,88,163,33,8,yes
23,Aug,Thr,Spring,235,11,14,37,205.917,postgrad,1,1,88,172,29,4,no
18,Aug,Mon,Spring,235,29,12,48,205.917,h_school,1,5,88,163,33,8,yes
23,Aug,Mon,Spring,179,51,18,38,205.917,h_school,0,0,89,170,31,2,no
23,Aug,Mon,Spring,361,52,3,28,205.917,h_school,1,4,80,172,27,1,no
24,Aug,Tue,Spring,289,36,13,33,205.917,h_school,2,1,90,172,30,8,no
11,Aug,Thr,Spring,291,50,12,32,205.917,h_school,0,0,65,169,23,4,yes
28,Aug,Fri,Spring,235,29,12,48,205.917,h_school,1,5,88,163,33,8,no
23,Aug,Fri,Spring,260,50,11,36,205.917,h_school,4,0,65,168,23,4,no
23,Sep,Tue,Spring,184,42,7,27,241.476,h_school,0,0,58,167,21,2,no
23,Sep,Mon,Spring,118,10,10,37,241.476,h_school,0,0,83,172,28,4,no
23,Sep,Tue,Spring,179,51,18,38,241.476,h_school,0,0,89,170,31,4,no
19,Sep,Tue,Spring,235,20,13,43,241.476,h_school,1,0,106,167,38,8,yes
23,Sep,Wed,Spring,155,12,14,34,241.476,h_school,2,0,95,196,25,2,no
23,Sep,Mon,Spring,118,10,10,37,241.476,h_school,0,0,83,172,28,3,no
23,Sep,Tue,Spring,179,51,18,38,241.476,h_school,0,0,89,170,31,3,no
23,Sep,Thr,Spring,291,31,12,40,241.476,h_school,1,1,73,171,25,4,no
22,Sep,Fri,Spring,260,50,11,36,241.476,h_school,4,0,65,168,23,8,no
14,Sep,Mon,Winter,291,31,12,40,241.476,h_school,1,1,73,171,25,32,yes
0,Sep,Mon,Winter,260,50,11,36,241.476,h_school,4,0,65,168,23,0,no
0,Sep,Mon,Winter,225,26,9,28,241.476,h_school,1,2,69,169,24,0,no
23,Sep,Tue,Winter,225,26,9,28,241.476,h_school,1,2,69,169,24,2,no
23,Sep,Tue,Winter,118,10,10,37,241.476,h_school,0,0,83,172,28,2,no
0,Sep,Tue,Winter,289,36,13,33,241.476,h_school,2,1,90,172,30,0,no
0,Sep,Tue,Winter,118,13,18,50,241.476,h_school,1,0,98,178,31,0,no
18,Sep,Wed,Winter,225,26,9,28,241.476,h_school,1,2,69,169,24,3,yes
23,Sep,Wed,Winter,179,51,18,38,241.476,h_school,0,0,89,170,31,3,no
0,Sep,Wed,Winter,369,17,12,31,241.476,h_school,3,0,70,169,25,0,no
23,Sep,Fri,Winter,248,25,14,47,241.476,h_school,2,1,86,165,32,1,no
23,Sep,Fri,Winter,179,51,18,38,241.476,h_school,0,0,89,170,31,3,no
23,Sep,Fri,Winter,260,50,11,36,241.476,h_school,4,0,65,168,23,4,no
23,Oct,Tue,Winter,179,51,18,38,253.465,h_school,0,0,89,170,31,3,no
23,Oct,Tue,Winter,118,10,10,37,253.465,h_school,0,0,83,172,28,3,no
0,Oct,Wed,Winter,118,13,18,50,253.465,h_school,1,0,98,178,31,0,no
23,Oct,Thr,Winter,179,26,9,30,253.465,postgrad,0,0,56,171,19,1,no
23,Oct,Fri,Winter,179,51,18,38,253.465,h_school,0,0,89,170,31,3,no
23,Oct,Fri,Winter,225,26,9,28,253.465,h_school,1,2,69,169,24,3,no
23,Oct,Tue,Winter,118,10,10,37,253.465,h_school,0,0,83,172,28,3,no
23,Oct,Wed,Winter,225,26,9,28,253.465,h_school,1,2,69,169,24,2,no
23,Oct,Wed,Winter,248,25,14,47,253.465,h_school,2,1,86,165,32,2,no
23,Oct,Thr,Winter,291,31,12,40,253.465,h_school,1,1,73,171,25,5,no
23,Oct,Wed,Winter,179,51,18,38,253.465,h_school,0,0,89,170,31,8,no
23,Oct,Wed,Winter,225,26,9,28,253.465,h_school,1,2,69,169,24,3,no
19,Oct,Thr,Winter,260,50,11,36,253.465,h_school,4,0,65,168,23,16,yes
14,Oct,Tue,Winter,291,31,12,40,253.465,h_school,1,1,73,171,25,8,yes
28,Oct,Tue,Winter,225,26,9,28,253.465,h_school,1,2,69,169,24,2,no
26,Oct,Wed,Winter,289,36,13,33,253.465,h_school,2,1,90,172,30,8,no
23,Oct,Fri,Winter,361,52,3,28,253.465,h_school,1,4,80,172,27,1,no
28,Oct,Fri,Winter,260,50,11,36,253.465,h_school,4,0,65,168,23,3,no
23,Nov,Thr,Winter,179,51,18,38,306.345,h_school,0,0,89,170,31,1,no
23,Nov,Wed,Winter,225,26,9,28,306.345,h_school,1,2,69,169,24,1,no
13,Nov,Thr,Winter,179,51,18,38,306.345,h_school,0,0,89,170,31,8,yes
21,Nov,Thr,Winter,179,22,17,40,306.345,graduate,2,0,63,170,22,8,yes
23,Nov,Thr,Winter,291,31,12,40,306.345,h_school,1,1,73,171,25,5,no
10,Nov,Mon,Winter,155,12,14,34,306.345,h_school,2,0,95,196,25,32,yes
22,Nov,Mon,Winter,189,29,13,33,306.345,h_school,2,2,69,167,25,8,no
14,Nov,Mon,Winter,291,31,12,40,306.345,h_school,1,1,73,171,25,40,yes
23,Nov,Wed,Winter,225,26,9,28,306.345,h_school,1,2,69,169,24,1,no
6,Nov,Fri,Winter,155,12,14,34,306.345,h_school,2,0,95,196,25,8,yes
23,Nov,Wed,Winter,225,26,9,28,306.345,h_school,1,2,69,169,24,3,no
21,Nov,Wed,Winter,179,22,17,40,306.345,graduate,2,0,63,170,22,8,yes
13,Nov,Fri,Winter,225,26,9,28,306.345,h_school,1,2,69,169,24,3,yes
28,Nov,Fri,Winter,260,50,11,36,306.345,h_school,4,0,65,168,23,4,no
28,Nov,Mon,Winter,248,25,14,47,306.345,h_school,2,1,86,165,32,1,no
28,Nov,Tue,Winter,225,26,9,28,306.345,h_school,1,2,69,169,24,3,no
7,Nov,Wed,Winter,289,36,13,33,306.345,h_school,2,1,90,172,30,24,yes
