,index,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Industry,Sector,Revenue,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age
0,0,Data Scientist,$53K-$91K (Glassdoor est.),3.8,"Tecolote Research
3.8","Albuquerque, NM",501 - 1000 ,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),53,91,72.0,NM,48
1,1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),3.4,"University of Maryland Medical System
3.4","Linthicum, MD",10000+ ,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),63,112,87.5,MD,37
2,2,Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL",501 - 1000 ,Security Services,Business Services,$100 to $500 million (USD),80,90,85.0,FL,11
3,3,Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 - 5000 ,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),56,97,76.5,WA,56
4,4,Data Scientist,$86K-$143K (Glassdoor est.),2.9,"Affinity Solutions
2.9","New York, NY",51 - 200 ,Advertising & Marketing,Business Services,Unknown / Non-Applicable,86,143,114.5,NY,23
5,5,Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX",201 - 500 ,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95.0,TX,21
6,6,Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD",501 - 1000 ,Banks & Credit Unions,Finance,Unknown / Non-Applicable,54,93,73.5,MD,13
7,7,Data Scientist,$86K-$142K (Glassdoor est.),3.8,"Logic20/20
3.8","San Jose, CA",201 - 500 ,Consulting,Business Services,$25 to $50 million (USD),86,142,114.0,CA,16
8,8,Research Scientist,$38K-$84K (Glassdoor est.),3.3,"Rochester Regional Health
3.3","Rochester, NY",10000+ ,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),38,84,61.0,NY,7
9,9,Data Scientist,$120K-$160K (Glassdoor est.),4.6,"<intent>
4.6","New York, NY",51 - 200 ,Internet,Information Technology,$100 to $500 million (USD),120,160,140.0,NY,12
10,10,Data Scientist,$126K-$201K (Glassdoor est.),3.5,"Wish
3.5","San Jose, CA",501 - 1000 ,Other Retail Stores,Retail,$1 to $2 billion (USD),126,201,163.5,CA,10
11,11,Data Scientist,$64K-$106K (Glassdoor est.),4.1,"ManTech
4.1","Chantilly, VA",5001 - 10000 ,Research & Development,Business Services,$1 to $2 billion (USD),64,106,85.0,VA,53
12,12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),3.2,"Walmart
3.2","Plano, TX",10000+ ,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),106,172,139.0,TX,59
13,13,Data Analyst,$46K-$85K (Glassdoor est.),4.1,"Yesler
4.1","Seattle, WA",201 - 500 ,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,WA,9
14,14,Data Scientist,$83K-$144K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),83,144,113.5,MA,240
15,15,Data Engineer I,$102K-$190K (Glassdoor est.),3.6,"Audible
3.6","Newark, NJ",1001 - 5000 ,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,102,190,146.0,NJ,26
16,16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),3.9,"Blueprint Medicines
3.9","Cambridge, MA",51 - 200 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),67,137,102.0,MA,10
17,17,Customer Data Scientist,$118K-$189K (Glassdoor est.),4.3,"h2o.ai
4.3","Mountain View, CA",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,118,189,153.5,CA,10
